date P ETpot Q T
2010061407  0.000 0.336 0.0014  18.2
2010061408  0.000 0.417 0.0014  19.0
2010061409  0.000 0.475 0.0012  20.5
2010061410  0.000 0.495 0.0012  21.1
2010061411  0.000 0.515 0.0012  21.1
2010061412  0.000 0.382 0.0012  21.1
2010061413  0.000 0.294 0.0012  20.4
2010061414  0.000 0.362 0.0012  21.3
2010061415  0.000 0.206 0.0012  20.7
2010061416  0.000 0.150 0.0012  20.4
2010061417  0.000 0.120 0.0012  19.4
2010061418  0.000 0.063 0.0010  17.3
2010061419  0.000 0.014 0.0010  16.1
2010061420  0.000 0.000 0.0010  14.5
2010061421  0.000 0.000 0.0010  12.9
2010061422  0.000 0.000 0.0010  11.5
2010061423  0.000 0.000 0.0010  10.9
2010061500  0.000 0.000 0.0010  10.2
2010061501  0.000 0.000 0.0010   9.3
2010061502  0.000 0.000 0.0010   8.0
2010061503  0.000 0.009 0.0010   8.2
2010061504  0.000 0.044 0.0010   9.5
2010061505  0.000 0.140 0.0010  11.8
2010061506  0.000 0.206 0.0010  12.4
2010061507  0.000 0.236 0.0010  13.5
2010061508  0.000 0.219 0.0010  13.7
2010061509  0.000 0.335 0.0010  15.1
2010061510  0.000 0.470 0.0010  15.7
2010061511  0.000 0.496 0.0010  17.7
2010061512  0.000 0.513 0.0010  17.6
2010061513  0.000 0.463 0.0010  17.7
2010061514  0.000 0.412 0.0010  18.4
2010061515  0.000 0.338 0.0010  17.8
2010061516  0.000 0.223 0.0010  16.7
2010061517  0.000 0.132 0.0008  15.5
2010061518  0.000 0.053 0.0008  14.1
2010061519  0.000 0.009 0.0008  12.4
2010061520  0.000 0.000 0.0008  10.9
2010061521  0.000 0.000 0.0008  10.1
2010061522  0.000 0.000 0.0008   8.0
2010061523  0.000 0.000 0.0008   7.5
2010061600  0.000 0.000 0.0008   7.6
2010061601  0.000 0.000 0.0008   7.1
2010061602  0.000 0.000 0.0008   7.1
2010061603  0.000 0.010 0.0008   8.3
2010061604  0.000 0.040 0.0008   9.5
2010061605  0.000 0.075 0.0008  10.5
2010061606  0.000 0.242 0.0008  12.8
2010061607  0.000 0.346 0.0008  15.7
2010061608  0.000 0.423 0.0008  18.1
2010061609  0.000 0.494 0.0008  19.0
2010061610  0.000 0.530 0.0008  19.5
2010061611  0.000 0.541 0.0008  20.9
2010061612  0.000 0.531 0.0008  21.7
2010061613  0.000 0.493 0.0008  22.3
2010061614  0.000 0.433 0.0008  22.5
2010061615  0.000 0.351 0.0008  22.6
2010061616  0.000 0.232 0.0008  22.0
2010061617  0.000 0.165 0.0008  21.2
2010061618  0.000 0.079 0.0008  20.1
2010061619  0.000 0.015 0.0008  17.6
2010061620  0.000 0.000 0.0006  14.8
2010061621  0.000 0.000 0.0008  13.0
2010061622  0.000 0.000 0.0006  13.5
2010061623  0.000 0.000 0.0008  11.6
2010061700  0.000 0.000 0.0006  11.3
2010061701  0.000 0.000 0.0006  10.1
2010061702  0.000 0.000 0.0008   9.3
2010061703  0.000 0.010 0.0008   9.5
2010061704  0.000 0.071 0.0008  12.2
2010061705  0.000 0.161 0.0008  14.5
2010061706  0.000 0.263 0.0008  16.5
2010061707  0.000 0.357 0.0008  19.0
2010061708  0.000 0.448 0.0008  20.8
2010061709  0.000 0.507 0.0008  21.7
2010061710  0.000 0.436 0.0008  22.0
2010061711  0.000 0.384 0.0008  22.1
2010061712  0.000 0.377 0.0008  23.0
2010061713  0.000 0.324 0.0008  23.2
2010061714  0.000 0.363 0.0008  24.3
2010061715  0.000 0.293 0.0006  23.6
2010061716  0.000 0.171 0.0006  23.0
2010061717  0.000 0.140 0.0006  23.0
2010061718  0.000 0.076 0.0006  19.7
2010061719  0.000 0.017 0.0006  17.5
2010061720  0.000 0.000 0.0006  15.3
2010061721  0.000 0.000 0.0006  13.9
2010061722  0.000 0.000 0.0006  12.4
2010061723  0.000 0.000 0.0006  11.3
2010061800  0.000 0.000 0.0006  10.8
2010061801  0.000 0.000 0.0006  11.0
2010061802  0.000 0.000 0.0006  10.8
2010061803  0.000 0.005 0.0006  10.7
2010061804  0.000 0.023 0.0006  10.8
2010061805  0.000 0.047 0.0006  11.1
2010061806  0.000 0.057 0.0006  11.4
2010061807  0.000 0.183 0.0006  13.6
2010061808  0.000 0.324 0.0006  15.8
